question	answer
"Вопрос 3: Как известно, Шота Руставели был государственным казначеем царицы
Тамары и хранителем ее сокровищ и драгоценностей. Известно и собрание
драгоценных камней и самоцветов, принадлежащих самому Руставели. Где в
настоящее время находится это собрание?        "	"Ответ: В библиотеке, в поэме ""Витязь в тигровой шкуре"" 203 раза
упоминаются различные драгоценные камни и самоцветы.    
 ! "
"Вопрос 4: Во Франции существовала монета в 60 су, которую разменивали на 4
монеты по 15 су. А за что можно было получить эти 60 су?        "	"Ответ: За победу в теннисном гейме 4 удара по 15 су каждый (игра шла на деньги).    
 ! "
"Вопрос 5: В начале XVII века в России с успехом прошли выступления
талантливого актера. Слава его нарастала столь стремительно, что он
даже сменил имя и стал уважительно называться Петром Ивановичем. А как
его звали на родине?        "	"Ответ: Пульчинелла (Панч, Полишинель).    
 ! "
"Вопрос 6: Старинная итальянская загадка: чем впереди короче, тем позади
длиннее. Что это? Дайте самый общий ответ.        "	"Ответ: Дорога, жизнь, жизненный путь.    
 ! "
"Вопрос 7: Запишите, пожалуйста, следующие цифры: 1863 год
1+10; 1958 год
? Замените знак вопроса цифрами.        "	"Ответ: 1+4+2+4
знаменитая бразильская система расстановки футболистов
(чемпионат мира 1958 года).    
 ! "
"Вопрос 8: Современники говорили о нем: ""Уж ближе его к особе Государя никого
нет. Он, единственный в государстве, может сидеть и перед сидящим, и
перед стоящим государем императором"". Чин его соответствовал чину
полковника и назывался императорский лейб-... Назовите его чин
полностью.        "	"Ответ: Императорский лейб-кучер.    
 ! "
"Вопрос 9: Известно, как остра сейчас в большом спорте проблема допинга. В
Древней Греции, оказывается, также существовала эта проблема. Были и
свои виды допинга, был и свой допинг-контроль. А как могли судьи на
Олимпиадах проверить, употреблял ли атлет непосредственно перед
началом соревнований одно из самых сильнодействующих средств того
времени?        "	"Ответ: Обонянием, так как запах чеснока трудно заглушить.    
 ! "
"Вопрос 10: Марии 24 года. Она вдвое старше, чем была Анна, когда Марии было
столько лет, сколько Анне теперь. Сколько лет Анне теперь?        "	"Ответ: 18 лет.    
 ! "
"Вопрос 1: Каков смысл выражения: ""Лучшая уха из петуха""?        "	"Ответ: Смысл выражения буквальный: самая лучшая уха варится на курином бульоне.    
 ! "
"Вопрос 2: Все вы видели картину Леонардо да Винчи ""Джоконда"" или, по крайней
мере, ее репродукцию. А теперь вспомните, какие украшения на Моне
Лизе?        "	"Ответ: Никаких, возможно потому, что истинная красота в украшениях не
нуждается.    
 ! "
"Вопрос 3: В одной книге по искусству XIX века можно встретить слово ""райком"".
Что оно означает?        "	"Ответ: Это творительный падеж слова ""раек"" (галерка).    
 ! "
"Вопрос 4: Какое число (или числа) при делении на свою пятую часть дают ровно
5?        "	"Ответ: Любое число, кроме 0, при делении на свою пятую часть дает ровно 5.    
 ! "
"Вопрос 5: Участок-околоток, участковый милиционер околоточный
надзиратель. А как до революции определялся размер околотка?        "	"Ответ: В словаре В.Даля околоток — участок, на котором слышен стук
колотушки сторожа, охраняющего этот участок.    
 ! "
Вопрос 6: Почему у моряков многих стран расклешенные брюки?        	"Ответ: Такие брюки легче снять, оказавшись в воде, и, следовательно, шансы
в борьбе за жизнь при кораблекрушении повышаются.    
 ! "
"Вопрос 7: Представьте себе, что вы оказались в необычном доме: стулья в нем
размером в два метра, тарелки, чашки, ложки тяжелее и больше обычных,
а выключатели находятся на недосягаемой высоте. Именно так выглядел
макет жилого дома, который несколько лет демонстрировали европейцам
представители международной организации ЮНИСЕФ. Какую цель они при
этом преследовали?        "	"Ответ: ЮНИСЕФ — существующая под эгидой ООН организация по проблемам
детства; выставка, о которой идет речь, была устроена для того, чтобы
показать взрослым, как непросто быть в этом мире ребенком.    
 ! "
"Вопрос 9: В августе 1815 года в Европе пользовалась большой популярностью
анаграмма на латыни: ""Bona rapta, leno pone!"", что в вольном переводе
означало: ""Сутенер, отдай награбленное добро!"" Как звали этого
сутенера?        "	"Ответ: Анаграмма — словосочетание, образованное перестановкой букв другого
слова или словосочетания; ""Bona rapta, leno pone!""
Napoleon
Bonaparte.    
 ! "
"Вопрос 10: Запишите последовательность: Норвегия, Швеция, Бирма, ..., Перу.
Замените многоточие названием страны.        "	Ответ: Австрия    
"Вопрос 1: В ясную ночь среди звезд легко можно разглядеть широкую полосу
молочного цвета. Мы называем ее Млечный путь. А переведите это на
древнегреческий!        "	"Ответ: Галактика.    
 ! "
"Вопрос 2: Четырех котят надо разделить на троих ребят так, чтобы никто из ребят
не получил больше котят, чем остальные. Как это сделать?        "	"Ответ: 2+2+0 или 2+1+1.    
 ! "
"Вопрос 3: Скажите, пожалуйста, что является украшением наших обедов и, порой,
ужинов и завтраков?        "	"Ответ: Гарнир.    
 ! "
"Вопрос 4: ""Не верю ни в сон, ни в чох, ни в вороний грай, только верю я в свой
червленый вяз"". Так во что же верил былинный богатырь?        "	"Ответ: В свой щит или в свою дубину.    
 ! "
"Вопрос 5: На первом месте — музыка, на втором — сентиментальные сцены из
кинофильмов, на третьем — пейзажи и произведения искусства. А что, по
данным одного из исследований американских врачей, оказалось на шестом
месте?        "	"Ответ: Любовь (в ряду переживаний, вызывающих сильное сердцебиение).    
 ! "
"Вопрос 6: В каком случае в русской армии наказание офицера могло сопровождаться
повышением его в чине?        "	"Ответ: При переводе его из гвардии в армию.    
 ! "
"Вопрос 7: Эта поговорка, по мнению некоторых филологов, возникла среди бурлаков.
На их рубахах не было карманов, и если вода доходила до шеи, то
говорили... Что говорили бурлаки?        "	"Ответ: ""Дело табак"".    
 ! "
"Вопрос 8: В Горной Шории овец стригут два раза в году, весной и осенью. Весеннюю
шерсть используют для вязки свитеров, носков, варежек. А как
используют шерсть осеннего настрига?        "	"Ответ: Для изготовления войлочных изделий, так как эта шерсть грязней.    
 ! "
"Вопрос 9: Одна из загадок Леонардо да Винчи в подстрочном переводе на русский
язык звучит так: ""Люди будут жестоко бить то, что есть причина их
жизни, и разделят побитых"". Что именно делают люди?        "	"Ответ: Молотят хлеб.    
 ! "
"Вопрос 10: С помощью всего трех основных элементов жители Аравийской пустыни уже
3 тысячи лет назад научились создавать сотни вариантов этих полотен.
Сейчас этим искусством увлекаются очень и очень многие, используя при
этом те же самые три основных элемента. Назовите хотя бы один из них.        "	"Ответ: Лицевая петля, изнаночная петля, накид.    
 ! "
"Вопрос 1: В сентябре 1966 года всемирно известный писатель присутствовал на
открытии памятника своему всемирно известному герою. Назовите их
обоих.        "	"Ответ: Жорж Сименон и комиссар Мегрэ.    
 ! "
"Вопрос 2: Этот небольшой веник, сделанный из мелких веточек хвойных деревьев
и кустарников, насаженных на черенок, предназначался для уборки золы
при выпекании калачей в русской печи. А как он назывался?        "	"Ответ: Помело.    
 ! "
"Вопрос 3: Уважаемые знатоки! Запишите слова: БЫК, ГНОЙ, ДИЧЬ, ЭТАЖ, СЪЕМ (от
слова ""снимать""), ШУРФ, ПЛЮЩ, ЦЕХ. Какого слова в этом ряду не
хватает?        "	"Ответ: ВЯЗ. В восьми словах вопроса использованы все буквы русского
алфавита, кроме В, Я и З.    
 ! "
"Вопрос 4: В 1560 году английская королева Елизавета учредила должность
""королевского откупорщика"". Нарушителям королевской монополии грозила
виселица. Что же откупоривали те, кто находился на этой славной
должности?        "	"Ответ: Полное название должности
""королевский откупорщик океанских
бутылок"".    
 ! "
"Вопрос 5: Нидерланды экспортируют в настоящее время миллионы луковиц
тюльпанов, что приносит стране немалый доход. Уважаемые знатоки!
Назовите, пожалуйста, основной вид отходов, который служит сырьем при
изготовлении компоста для тюльпановых садов.        "	"Ответ: Цветы тюльпанов.    
 ! "
"Вопрос 6: Что именно (лет эдак 300 назад) должен был сказать своим гостям,
провожая их домой, радушный хозяин?        "	"Ответ: ""Скатертью дорога"".    
 ! "
"Вопрос 7: До XVIII века в Уэльсе брачная церемония была проста. Юноша, а за
ним девушка, должны были перепрыгнуть через метлу, установленную
наискось в дверном проеме, не уронив ее. Для расторжения брака
церемония повторялась одним из супругов в обратном порядке. Почему
поборники старины против возрождения этого обычая, точнее
против
возрождения его второй части?        "	"Ответ: Потому что с годами человек теряет былую ловкость, и перепрыгнуть
через метлу ему порой становится не под силу.    
 ! "
"Вопрос 8: В церквях и храмах Древней Руси перед началом отделочных работ и
после их завершения, бывало, натягивали в подкупольном барабане
веревочную сеть, а внизу разводили костер. Равномерность горения и
яркость костра поддерживали ученики-богомазы. А зачем был нужен такой
костер?        "	"Ответ: Тени от веревок давали картину искажений на внутренней поверхности
купола; зная ее, древние живописцы могли изобразить фигуры и лики
святых на кривой поверхности купола таким образом, чтобы снизу они
воспринимались без искажений.    
 ! "
"Вопрос 9: В дословном переводе с японского его название означает ""маленький
чиновник"". Многие японцы (особенно горожане) пользуются им практически
ежедневно
в магазинах, банках, и, конечно, на работе. Кстати, нечто
подобное описано в хорошо вам известном советском сатирическом романе.
О чем идет речь?        "	"Ответ: О личной печати, поскольку выписывать иероглифами свою фамилию по
нескольку раз на день
занятие неблагодарное. Ну а ссылка на
советский сатирический роман могла напомнить вам факсимиле
небезызвестного Полыхаева.    
 ! "
"Вопрос 10: Этим животным — Барсу, Лебедю и Горностаю — Россия обязана не только
всемирной славой, но и немалыми деньгами. Какую славу принесли они нашей
державе?        "	"Ответ: До сих пор пользуются немалым спросом на аукционах их потомки —
знаменитые орловские рысаки.    
 ! "
"Вопрос 1: Цвет этих звезд может быть голубым, розовым, фиолетовым, пурпурным,
белым. Чаще всего их можно увидеть поздним летом и ранней осенью.
Назовите их.        "	"Ответ: Это астры.    
 ! "
"Вопрос 2: В 1911 году американец Роберт Пири сделал оборот вокруг своей оси и
таким образом выполнил все необходимые условия для того, чтобы стать
членом этого лондонского клуба. Что же это за клуб?        "	"Ответ: Лондонский клуб кругосветных путешественников.    
 ! "
"Вопрос 3: Всего в трех словах римский сатирик Ювенал выразил суть политики
Рима по отношению к своему народу. А мы привыкли приписывать их толпе.
Назовите эти слова.        "	"Ответ: ""Хлеба и зрелищ"".    
 ! "
"Вопрос 4: По-испански ящерица — ""лагарто"". А какая ящерица получится, если
перед этим словом поставить артикль?        "	"Ответ: El lagarto — аллигатор.    
 ! "
"Вопрос 5: В полицейском участке был измерен его рост — 72 стандартные
измерительные единицы, окружность головы — 30 единиц, длина носа — 2.5
единицы. Эти данные позволили ошибочно идентифицировать его как
знаменитого бандита Красавчика. А как же его звали на самом деле?        "	"Ответ: Незнайка (цитируется ""Незнайка на Луне"").    
 ! "
"Вопрос 6: Каким образом французы рекомендуют применять отвар водосбора —
лучшее, по их мнению, средство от сварливости?        "	"Ответ: Набрать в рот и молчать, пока не пропадет охота говорить.    
 ! "
"Вопрос 7: На фасаде этого громадного здания строки Евангелия от Иоанна: ""И
познаете истину, и истина сделает вас свободными"". Какое американское
учреждение расположено в этом здании?        "	"Ответ: Центральное разведывательное управление.    
 ! "
"Вопрос 8: Есть 4 вида эльфов: саламандры — духи огня, ундины — духи воды,
сильфы — духи воздуха. А как называются духи земли?        "	"Ответ: По этой классификации — только гномы.    
 ! "
"Вопрос 9: В 1925 году в американском штате Теннесси состоялось судебное
разбирательство, получившее впоследствии название ""обезьяний процесс"".
Так в чем же обвиняли на этом процессе школьного учителя Джона Скопса?        "	"Ответ: В преподавании эволюционной теории Дарвина.    
 ! "
"Вопрос 10: В ряду тех, кто пытался выразить себя на этой ниве — Олдос Хаксли,
Бернард Шоу, Хемингуэй, Фолкнер, Маяковский. Но успех сопутствовал
лишь последнему из них. Так чем же они все пытались заниматься?        "	"Ответ: Сочинением рекламных текстов.    
 ! "
"Вопрос 1: Рассказывают, что однажды Анатолия Васильевича Луначарского
спросили, сколько надо учиться для того, чтобы стать столь же
интеллигентным человеком, как и он. Луначарский ответил, что для этого
надо, чтобы было 3 высших образования. О каких образованиях идет речь?        "	"Ответ: ""Высшее образование у Вашего деда, у Вашего отца и у Вас"".    
 ! "
"Вопрос 2: Появились они в России в октябре месяце и были первыми среди тех,
чья деятельность с самого начала была легальной. Их опора
либеральная интеллигенция и цивилизованный предприниматель. Изучая их
программу, можно даже сказать о ее полном соответствии всеобщей
Декларации прав человека. Из их рядов вышел председатель I
Государственной Думы. Назовите их.        "	"Ответ: Кадеты конституционные демократы первая легальная партия в
России, основанная в октябре 1905 года.    
 ! "
"Вопрос 3: К концу XVII века на Руси существовали шлемовидные, крыловидные и
прямоугольные. У шлемовидных, сделанных из ели или сосны, их было
20-25, у крыловидных, сделанных из березы или клена, их количество
колебалось от 4 до 14. Но наибольшее количество 55-60 было у самых
сложных, прямоугольных или столообразных. Что же это за устройство?        "	"Ответ: Гусли, указано число струн.    
 ! "
"Вопрос 4: Ее имя происходит от слова, означающего по-персидски
""победоносный"". Средний срок ее жизни не превышает пятидесяти лет. Она
страдает от воды, жары, алкоголя. Если она умирает на руках хозяина
это дурная примета. Если она заболела, ее можно вылечить с помощью
парафиновых ванн, либо в густой мыльной пене. Используют для этого
также живых гусей или баранье сало. Именно поэтому руки мясника могут
принести ей вторую молодость. Назовите ее.        "	"Ответ: Бирюза, от персидского ""фируз"".    
 ! "
"Вопрос 5: Философ-идеалист, математик и физик, языковед и дипломат,
основатель Берлинской Академии наук, он, по просьбе Петра I,
разработал проекты развития образования и государственного управления
в России. А нам он больше известен как один из создателей того, с чем
практически каждый из нас сталкивался хотя бы один раз в жизни. Что же
это такое?        "	"Ответ: Готфрид Вильгельм Лейбниц заложил основы дифференциального и
интегрального исчисления.    
 ! "
"Вопрос 6: Многие пчеловоды делают в задней (съемной) стенке пчелиного улья
длинные прорези. Зачем?        "	"Ответ: С помощью прорезей добывают прополис пчелиный клей, которым пчелы
заделывают щели в ульях.    
 ! "
"Вопрос 8: Для очередных опытов французский физик Жозеф Гей-Люссак выписал из
Германии партию тонкостенных стеклянных трубок. Однако немецкая
таможня за вывоз изделий из стекла наложила на посылку высокую
пошлину. Выход нашел немецкий естествоиспытатель и путешественник
Александр Гумбольдт после небольшой технологической операции
очередная посылка прошла через таможню вообще без всякой пошлины. Что
придумал Гумбольдт?        "	"Ответ: Запаять трубки, превратив их тем самым в упаковку; Гумбольдт даже
сделал надпись на посылке: ""Осторожно, немецкий воздух!""    
 ! "
"Вопрос 9: Дипломат это человек, который в отношениях со знакомой дамой
хорошо помнит одно число, забывая при этом про другое. Что это за
числа?        "	"Ответ: Помнит день рождения и забывает возраст.    
 ! "
"Вопрос 10: Кеннеди; Пентагон; Янки; Иерусалим; суббота, четырнадцатое
это один список. Фирдоуси, Данте, Шекспир, Мольер, Ромен Роллан
это второй список. Назовите фамилию, которой мы должны быть благодарны за
то, к чему, в одном случае, нас приобщили и от чего, в другом случае,
нас уберегли.        "	"Ответ: Лозинский, речь идет об однофамильцах знаменитом
поэте-переводчике Михаиле Леонидовиче Лозинском и об авторе знаменитой
компьютерной антивирусной программы Лозинском Дмитрии Николаевиче.    
 ! "
"Вопрос 1: Рисование, склеивание домиков, физические опыты
для детей;
различные виды рукоделия
для дам. Согласно словарю Брокгауза и
Ефрона, эти виды активного досуга можно назвать одним словом. Каким?        "	"Ответ: Спорт.    
 ! "
"Вопрос 2: Отец истории Геродот не верил в ее существование. Юлий Цезарь
пытался ею овладеть. А Шекспир устами своего героя утверждал, что она
вполне подходит для сумасшедших. Назовите ее.        "	"Ответ: Англия.    
 ! "
"Вопрос 3: В начале 30-х годов в Германии был создан концерн ""Ауто-Юнион"". В
него вошли фирмы, выпускавшие автомобили, а именно: ДКВ, ""Хорьх"",
""Вандерер"". Назовите четвертую фирму, вошедшую в этот концерн.        "	"Ответ: ""Ауди""
фирма, которая до сих пор сохранила эмблему концерна
4
переплетенных кольца.    
 ! "
"Вопрос 4: В начале 90-х годов в Национальной Хоккейной Лиге появилась новая
команда
""Могучие Утки"" из города Анахайм. Как в переводе на русский
язык звучит название ледовой арены, построенной в этом городе?        "	"Ответ: ""Пруд"".    
 ! "
"Вопрос 5: В XII веке это французское слово означало ""охотник с легавыми
собаками"". А сейчас при определенных обстоятельствах им может
оказаться любой охотник или рыбак. Назовите это слово.        "	"Ответ: Браконьер.    
 ! "
"Вопрос 6: В Ленинградском Большом драматическом театре всегда были весьма
либеральные порядки. В гримерные даже к самым знаменитым артистам и
ныне достаточно легко попасть. А что находится за дверью, на которой
висит единственная в театре табличка ""посторонним вход воспрещен""?        "	"Ответ: Сцена.    
 ! "
"Вопрос 7: Этого юриста мы все хорошо знаем. Назовите имя хотя бы одного
представителя его семьи, если, как стало всем на известно в прошлом
году, судом его родного штата за неуплату ежегодного взноса он был
лишен лицензии на адвокатскую деятельность. В качестве дополнительной
информации добавим, что мать его дочери
тоже юрист.        "	"Ответ: Билл, Хиллари, Челси (Клинтон).    
 ! "
"Вопрос 8: Несколько лет назад в журнале ""Америка"" были опубликованы рецепты
для страдающих от похмелья. Один из них заканчивался так: ""...а на
грудь положить веточку петрушки"". В каком именно случае предлагалось
использовать петрушку таким способом?        "	"Ответ: В случае летального исхода.    
 ! "
"Вопрос 9: Английский король Георг I, начиная с пятидесятичетырехлетнего
возраста и до конца жизни, был вынужден постоянно пользоваться
услугами переводчика. Что же с ним случилось в возрасте пятидесяти
четырех лет?        "	"Ответ: Он стал королем Англии, а поскольку его родным языком был немецкий
и ему было лень учить английский, услуги переводчика оказались
абсолютно необходимыми.    
 ! "
"Вопрос 10: Ее вес составляет в среднем 5 килограммов. Ее максимальная
скорость
около полуметра в секунду. А как называется то, что
приводит ее в движение, если весит это около трехсот граммов?        "	"Ответ: Человеческое сердце, речь идет о крови.    
 ! "
"Вопрос 1: Послушайте четверостишие Валентина Берестова, в котором мы сделаем
две паузы. Ваша задача — заполнить их."	    Не кошка и не конь,
"Вопрос 2: Плутарх называл их ""двумя самыми старыми и самыми опасными болезнями
государственного тела"". Люди, подверженные первой из этих болезней, почти
всегда стремятся заболеть другой, хотя и говорят, что первая не является
серьезным недостатком, а то, что (олицетворяет собой) вторую, не является
залогом счастья. Назовите эти болезни.        "	Ответ: бедность и богатство.    
"Вопрос 3: Киноартисты Элизабет Тейлор, Ален Делон, Чак Норрис. Певицы Алла
Пугачева и Эдита Пьеха. Спортсмены Габриэла Сабатини и Сергей Федоров. Имена
всех этих людей носят изделия, общее название которых происходит от латинского
слова, означающего ""дым"" или ""пар"". Что же это?        "	Ответ: парфюмерия, от лат. fumus — дым, чад, пар.    
"Вопрос 4: Четвертого октября 1957 года в Советском Союзе был произведен запуск
первого искусственного спутника Земли. Однако еще в 1951-м, а потом и в 1955
году ученые Соединенных Штатов Америки воспользовались спутником для
проведения экспериментальных сеансов связи. Каким образом они это сделали?        "	Ответ: отразили сигналы от естественного спутника — Луны.    
"Вопрос 5: В 1926 году золотую медаль получил Лев. Такой же медали восемь лет
спустя был удостоен Арам. Но, пожалуй, самые яркие имена в этом списке — это
Александр и Сергей, награжденные в 1892 году. Назовите их фамилии.        "	"Ответ: Скрябин и Рахманинов, речь идет о выпускниках Московской консерватории,
награжденных золотой медалью, в числе их были и знаменитый пианист Лев
Оборин, и выдающийся композитор Арам Хачатурян.    "
"Вопрос 6: Целое может состоять из многих компонентов, но основных три.
Они никогда не бывают одинаковыми и не могут находиться в одной плоскости. Первый
символизирует небо, второй — человека, третий — землю. Как же мы называем
целое?        "	Ответ: икебана.    
"Вопрос 7: ""... недостаток пространства, компенсируемый избытком времени"". Чему
Иосиф Бродский дал такое оригинальное определение?        "	Ответ: тюрьме.    
"Вопрос 8: Кто-то остроумно подметил, что если бы Александр Сергеевич Пушкин
жил не в XIX веке, а в XX, в его биографии поменялось бы, возможно, очень
многое, но три цифры остались бы неизменными. Какие?        "	Ответ: 1, 3, 7 — год 1837 превратился бы в 1937.    
"Вопрос 9: В честь победы над Японией на Арлингтонском кладбище в Вашингтоне
установлен монумент: в бронзе запечатлен момент высадки американского десанта
на острове Иводзима. А какая деталь этого монумента изготовлена не из бронзы и
заменяется время от времени?        "	"Ответ: американский флаг, который десантники установили на острове после
штурма.    "
"Вопрос 10: Генерал Драгомиров, возглавлявший с 1878 по 1888 год Академию
Генерального штаба, настоятельно не рекомендовал военным читать эту книгу.
Отдавая должное мастерству автора, он в то же время утверждал, что она ""ставит
под сомнение всю военную науку"". Как же называется эта книга?        "	"Ответ: ""Война и мир"".    "
"Вопрос 1: Профессионалки считают, что лучший способ предохранения от этой
неприятности следующий: положить вытянутый палец в рот, нежно обнять его
губами и медленно вытащить его изо рта. Выполнение женщинами этого
простого приема на 100% страхует их... Страхует от чего?        "	"Ответ: Участницы профессиональных соревнований по шейпингу таким приемом на 100%
страхуют себя от попадания губной помады на зубы.    "
"Вопрос 2: Внимание, несколько пар: цитраты аммония — Куликовская битва; сорбитан
тристеарат — открытие Колумбом Америки; йодат калия — Великая
Октябрьская социалистическая революция. Каждый член пары описывается
характеристикой из 4 элементов. 3 элемента для обоих членов пары
совпадают. Объединение несовпадающих элементов — по одному от каждого
члена пары — для всех пар одинаково и указывает на расположение на
шахматной доске одной из фигур перед началом партии. Назовите эту
фигуру.        "	Ответ: Белый король    
"Вопрос 4: В 1994 году по выпуску этой продукции в мире лидировали США — 237 016
тысяч гектолитров в год. Россия с результатом 24 500 тысяч гектолитров
занимала довольно почетное восьмое место. Как ни странно, но третье
место занимала Германия с результатом 112 141 тысяч гектолитров. Какая
страна с результатом 122 600 тысяч гектолитров занимала второе место?        "	Ответ: По производству пива второе место в мире занимал Китай.    
"Вопрос 5: Это литературное произведение было представлено на конкурс искусств в
1912 году Ж. Хородом и М. Эшбахом и получило на нем золотую медаль. Оно
состоит из 9 частей, каждая из которых имеет свое название, причем все
названия отличаются друг от друга только одним словом. Вот эти слова для
восьми частей: наслаждение, зодчий, справедливость, вызов, благородство,
радость, плодотворность, прогресс. Как звучит полностью хорошо вам
известное название девятой части произведения?        "	"Ответ: ""О спорт! Ты — мир!"".    "
"Вопрос 7: Этого литературного героя не проходят в школе, но многим из Вас он
безусловно известен. Автор, чтобы познакомить читателя со своим героем,
рассказывает его родословную чуть ли не со времен Рюрика. Чтобы не
перечислять всех его предков, назову лишь некоторых. Один из них
славился своими скандальными появлениями при дворе Ивана Грозного,
другой был ""в великой силе"" при Петре I. Дед героя был очень богат, но
внуку из его богатства не досталось практически ничего. Вы, конечно,
догадались о ком идет речь. Мне стыдно спрашивать у такой уважаемой
команды, как Ваша, фамилию этого героя, поэтому я прошу Вас назвать его
имя.        "	Ответ: Иван.    
"Вопрос 8: Если бы вы захотели совершить это очень популярное лет 10-15 назад
путешествие в текущем 1997 году, то начать его вы смогли бы только 26
января, 23 февраля или 26 октября, т. е. как раз тогда, когда погружение
в Финский залив не слишком приятно. Начальным пунктом путешествия скорее
всего будет Петербург. Назовите конечный пункт путешествия.        "	Ответ: Комарово.    
"Вопрос 9: У него много имен: мужицкое — ""Герасим"", чувственное — ""Гермес"",
загадочное — ""Второй номер"". Его изобретателем считается англичанин
Райт, однако найти применение своему изобретению он так и не смог.
Опросы показали, что у московских студентов по популярности он
безусловный лидер среди ему подобных. О чем идет речь?        "	Ответ: Это — героин    
"Вопрос 10: Египетский висячий мост Аль-Фирдан был долгое одно время самым большим в
мире. Через что переброшен этот мост?        "	Ответ: Через Суэцкий канал.    
